Requete;Triplet_1;Triplet_2;Triplet_3;Estimation_1;Estimation_2;Estimation_3
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country137};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country137;;;11;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country249};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country249;;;9;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country50};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country50;;;38;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country28};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country28;;;56;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country1};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country1;;;750;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country84};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country84;;;24;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country135};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country135;;;21;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country22};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country22;;;76;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country10};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country10;;;155;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country232};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country232;;;9;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country28};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country28;;;56;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country81};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country81;;;32;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country129};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country129;;;21;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country52};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country52;;;27;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country63};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country63;;;27;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country43};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country43;;;40;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country209};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country209;;;18;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country221};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country221;;;7;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country41};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country41;;;57;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country91};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country91;;;21;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country18};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country18;;;93;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country114};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country114;;;10;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country167};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country167;;;15;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country211};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country211;;;10;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country91};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country91;;;21;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country87};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country87;;;17;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country137};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country137;;;11;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country18};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country18;;;93;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country221};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country221;;;7;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country169};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country169;;;10;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country202};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country202;;;8;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country211};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country211;;;10;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country170};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country170;;;7;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country1};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country1;;;750;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country6};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country6;;;253;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country145};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country145;;;13;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country221};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country221;;;7;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country134};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country134;;;13;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country100};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country100;;;19;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country91};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country91;;;21;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country63};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country63;;;27;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country25};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country25;;;71;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country63};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country63;;;27;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country202};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country202;;;8;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country85};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country85;;;18;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country181};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country181;;;7;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country52};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country52;;;27;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country52};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country52;;;27;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country160};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country160;;;8;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country40};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country40;;;38;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country40};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country40;;;38;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country41};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country41;;;57;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country166};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country166;;;7;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country110};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country110;;;15;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country100};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country100;;;19;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country134};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country134;;;13;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country137};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country137;;;11;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country95};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country95;;;17;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country188};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country188;;;9;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country12};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country12;;;146;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country163};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country163;;;10;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country212};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country212;;;10;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country93};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country93;;;24;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country130};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country130;;;16;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country19};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country19;;;89;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country167};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country167;;;15;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country18};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country18;;;93;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country25};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country25;;;71;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country61};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country61;;;29;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country25};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country25;;;71;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country170};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country170;;;7;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country206};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country206;;;12;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country194};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country194;;;9;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country51};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country51;;;35;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country10};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country10;;;155;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country170};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country170;;;7;;;
